"",Symbol,Date,Year,Low,High,Open,Close,Volume
673,SRTRANSFIN,2022-03-03,2022,1094.00,1136.00,1117.00,1105.45,1103619
674,SRTRANSFIN,2022-03-04,2022,1081.00,1116.50,1099.00,1089.15,1068191
675,SRTRANSFIN,2022-03-07,2022,1016.30,1059.85,1055.00,1021.30,980312
676,SRTRANSFIN,2022-03-08,2022,1002.00,1049.80,1016.00,1041.60,2443557
677,SRTRANSFIN,2022-03-09,2022,1041.20,1072.35,1061.20,1061.85,1283009
678,SRTRANSFIN,2022-03-10,2022,1055.10,1100.00,1098.00,1079.50,1669933
679,SRTRANSFIN,2022-03-11,2022,1056.50,1094.55,1058.30,1090.95,1178097
680,SRTRANSFIN,2022-03-14,2022,1077.60,1116.00,1094.95,1112.70,1326085
681,SRTRANSFIN,2022-03-15,2022,1080.00,1137.00,1115.00,1090.15,1554591
682,SRTRANSFIN,2022-03-15,2022,1080.00,1137.00,1115.00,1090.15,1554591
683,SRTRANSFIN,2022-03-16,2022,1095.20,1130.00,1108.70,1109.50,1505450
684,SRTRANSFIN,2022-03-17,2022,1120.65,1144.40,1125.00,1129.55,1195534
685,SRTRANSFIN,2022-03-21,2022,1084.80,1141.40,1130.55,1086.40,1261670
686,SRTRANSFIN,2022-03-22,2022,1066.00,1105.00,1082.00,1098.15,1613907
687,SRTRANSFIN,2022-03-23,2022,1088.10,1110.00,1103.00,1096.20,867015
688,SRTRANSFIN,2022-03-24,2022,1086.60,1101.60,1093.95,1092.40,665807
689,SRTRANSFIN,2022-03-25,2022,1086.05,1112.40,1099.85,1103.00,646856
690,SRTRANSFIN,2022-03-28,2022,1083.75,1120.55,1108.50,1115.55,1433694
691,SRTRANSFIN,2022-03-29,2022,1099.00,1127.00,1115.55,1123.40,1326402
692,SRTRANSFIN,2022-03-30,2022,1119.00,1138.80,1127.00,1124.45,498818
693,SRTRANSFIN,2022-03-31,2022,1119.00,1144.40,1127.00,1134.85,874337
694,SRTRANSFIN,2022-04-01,2022,1127.90,1199.00,1135.00,1181.35,894692
695,SRTRANSFIN,2022-04-04,2022,1170.00,1190.00,1184.00,1179.00,553251
696,SRTRANSFIN,2022-04-05,2022,1165.55,1187.45,1184.00,1170.50,1495778
697,SRTRANSFIN,2022-04-06,2022,1155.05,1180.00,1159.00,1167.05,1029704
698,SRTRANSFIN,2022-04-07,2022,1158.00,1184.95,1161.00,1174.10,2043146
699,SRTRANSFIN,2022-04-08,2022,1166.80,1213.50,1189.35,1207.20,2402752
700,SRTRANSFIN,2022-04-11,2022,1198.05,1238.00,1215.00,1223.60,1108230
701,SRTRANSFIN,2022-04-12,2022,1170.10,1224.95,1224.95,1180.90,1060299
702,SRTRANSFIN,2022-04-13,2022,1178.45,1197.15,1192.00,1183.95,467562
703,SRTRANSFIN,2022-04-18,2022,1121.10,1174.80,1162.00,1164.25,1439979
704,SRTRANSFIN,2022-04-19,2022,1102.00,1189.00,1179.25,1118.60,1457853
705,SRTRANSFIN,2022-04-20,2022,1092.05,1133.75,1112.50,1114.25,639077
706,SRTRANSFIN,2022-04-21,2022,1118.10,1153.95,1124.00,1150.85,778280
707,SRTRANSFIN,2022-04-22,2022,1100.45,1140.00,1140.00,1108.00,886477
708,SRTRANSFIN,2022-04-25,2022,1076.35,1104.00,1095.00,1096.60,1078260
709,SRTRANSFIN,2022-04-26,2022,1103.00,1161.00,1107.95,1157.25,1559842
710,SRTRANSFIN,2022-04-27,2022,1134.00,1166.70,1142.00,1141.25,1000461
711,SRTRANSFIN,2022-04-28,2022,1135.60,1163.00,1148.00,1141.80,2451192
712,SRTRANSFIN,2022-04-29,2022,1174.15,1239.00,1194.40,1202.05,6130269
713,SRTRANSFIN,2022-05-02,2022,1184.95,1237.00,1189.70,1230.25,1998919
714,SRTRANSFIN,2022-05-04,2022,1131.10,1257.45,1232.00,1148.90,1945894
715,SRTRANSFIN,2022-05-05,2022,1148.15,1194.95,1169.90,1161.55,1021326
716,SRTRANSFIN,2022-05-06,2022,1133.00,1193.00,1133.00,1183.80,1904964
717,SRTRANSFIN,2022-05-09,2022,1135.60,1178.00,1178.00,1157.00,1520525
718,SRTRANSFIN,2022-05-10,2022,1145.00,1177.95,1157.00,1160.35,902676
719,SRTRANSFIN,2022-05-11,2022,1097.20,1164.35,1155.00,1120.00,1783624
720,SRTRANSFIN,2022-05-12,2022,1047.10,1120.00,1120.00,1064.75,1879485
721,SRTRANSFIN,2022-05-13,2022,1047.60,1094.90,1082.00,1061.60,1696481
722,SRTRANSFIN,2022-05-16,2022,1051.80,1097.50,1060.00,1090.55,1366678
723,SRTRANSFIN,2022-05-17,2022,1082.00,1120.80,1097.00,1108.75,820255
724,SRTRANSFIN,2022-05-18,2022,1087.20,1126.80,1120.00,1097.70,859268
725,SRTRANSFIN,2022-05-19,2022,1064.00,1086.60,1069.00,1078.50,1622176
726,SRTRANSFIN,2022-05-20,2022,1083.60,1109.00,1097.00,1096.00,659263
727,SRTRANSFIN,2022-05-23,2022,1100.00,1147.90,1100.00,1136.65,1214098
728,SRTRANSFIN,2022-05-24,2022,1103.05,1144.90,1133.85,1127.75,1613913
729,SRTRANSFIN,2022-05-25,2022,1102.75,1146.35,1136.00,1117.20,1003508
730,SRTRANSFIN,2022-05-26,2022,1102.60,1151.00,1121.00,1146.65,702979
731,SRTRANSFIN,2022-05-27,2022,1131.20,1161.50,1161.50,1142.45,454382
732,SRTRANSFIN,2022-05-30,2022,1141.90,1185.00,1157.00,1171.90,835359
733,SRTRANSFIN,2022-05-31,2022,1145.00,1195.70,1171.90,1176.20,2788284
734,SRTRANSFIN,2022-06-01,2022,1166.00,1200.00,1175.20,1184.95,1035244
735,SRTRANSFIN,2022-06-02,2022,1175.25,1196.00,1185.50,1192.90,558074
736,SRTRANSFIN,2022-06-03,2022,1168.35,1197.95,1195.50,1178.50,1079344
